date,HPI,HPI1,HPI2,HPI3
2010-06,"9,042.00","20,799.50","8,637.86","6,396.15"
2010-07,"8,981.00","20,587.50","8,590.50","6,368.00"
2010-08,"8,940.00","20,390.00","8,605.64","6,395.42"
2010-09,"9,037.00","20,774.50","8,720.14","6,459.81"
2010-10,"9,123.00","21,037.00","8,776.91","6,502.55"
2010-11,"9,220.00","21,161.50","8,896.73","6,591.43"
2010-12,"9,314.00","21,296.50","9,028.00","6,667.89"
2011-01,"9,445.00","21,557.00","9,175.05","6,753.07"
2011-02,"9,533.00","21,739.00","9,257.64","6,814.35"
2011-03,"9,606.00","21,802.75","9,351.23","6,873.32"
2011-04,"9,671.00","21,948.25","9,405.18","6,928.91"
2011-05,"9,739.00","22,142.00","9,431.23","7,005.51"
2011-06,"9,787.00","22,218.50","9,492.32","7,052.92"
2011-07,"9,824.00","22,348.50","9,513.41","7,084.05"
2011-08,"9,831.00","22,347.00","9,500.36","7,119.26"
2011-09,"9,827.00","22,346.00","9,478.45","7,126.50"
2011-10,"9,795.00","22,293.25","9,459.59","7,121.89"
2011-11,"9,741.00","22,233.00","9,382.36","7,114.76"
2011-12,"9,712.00","22,123.75","9,375.36","7,096.61"
2012-01,"9,696.00","22,101.00","9,349.86","7,099.30"
2012-02,"9,654.00","22,035.00","9,284.73","7,055.72"
2012-03,"9,623.00","22,042.75","9,239.05","7,039.59"
2012-04,"9,586.00","21,899.00","9,217.68","7,007.99"
2012-05,"9,523.00","21,829.75","9,167.77","6,959.93"
2012-06,"9,551.00","22,070.50","9,188.86","6,942.09"
2012-07,"9,586.00","22,101.00","9,248.14","6,945.34"
2012-08,"9,614.00","22,188.00","9,279.14","6,948.18"
2012-09,"9,640.00","22,237.75","9,316.09","6,953.57"
2012-10,"9,653.00","22,347.00","9,316.36","6,960.07"
2012-11,"9,693.00","22,415.75","9,373.77","6,960.49"
2012-12,"9,715.00","22,604.25","9,405.68","6,889.72"
2013-01,"9,812.00","23,109.25","9,445.32","6,896.09"
2013-02,"9,893.00","23,501.00","9,515.41","6,929.32"
2013-03,"9,998.00","23,922.00","9,621.50","6,970.55"
2013-04,"10,098.00","24,357.00","9,706.50","7,022.62"
2013-05,"10,180.00","24,705.50","9,770.86","7,071.58"
2013-06,"10,258.00","25,067.00","9,860.50","7,099.77"
2013-07,"10,347.00","25,474.75","9,960.55","7,130.04"
2013-08,"10,442.00","25,944.75","10,030.27","7,156.76"
2013-09,"10,554.00","26,587.00","10,103.45","7,205.81"
2013-10,"10,685.00","27,204.75","10,192.18","7,227.04"
2013-11,"10,758.00","27,519.50","10,283.41","7,244.76"
2013-12,"10,833.00","27,903.25","10,364.82","7,242.54"
2014-01,"10,901.00","28,225.00","10,370.09","7,257.16"
2014-02,"10,960.00","28,563.25","10,392.73","7,248.05"
2014-03,"11,002.00","28,765.00","10,438.09","7,245.45"
2014-04,"11,013.00","28,858.25","10,435.18","7,240.66"
2014-05,"10,978.00","28,814.00","10,398.64","7,202.97"
2014-06,"10,923.00","28,639.00","10,317.68","7,155.64"
2014-07,"10,835.00","28,356.00","10,236.95","7,104.97"
2014-08,"10,771.00","28,273.50","10,143.23","7,064.97"
2014-09,"10,672.00","28,023.50","10,067.50","7,003.19"
2014-10,"10,629.00","28,004.75","10,013.64","6,949.85"
2014-11,"10,589.00","28,085.75","9,958.68","6,887.19"
2014-12,"10,542.00","28,064.50","9,921.00","6,840.12"
2015-01,"10,564.00","28,283.00","9,924.09","6,824.32"
2015-02,"10,539.00","28,259.00","9,889.82","6,795.50"
